id,zotero_link,year,title
1,K8BJIJ9V,1990,Byzantium in the Seventh Century
2,RVPGA38E,1985,"Population, Disease and Land in Early Japan, 645-900"
3,4EAHAZ4T,1982,Pavia and Rome: The Lombard Monarchy and the Papacy in the Eighth Century
4,V8JDJUC6,2006,"The economy, trade and serfdom"
5,ZSZ2XBTF,1971,Rome in the Dark Ages
6,LDD8ASDR,2020,The Comparative Analysis of Early Cities and Urban Deposits
7,RC3S9SRN,2000,Mission Encounters in the Colonial World: British Columbia and South-West Australia
8,862PZTJ6,1999,"Senegambia from the Sixteenth to the Eighteenth Century: Evolution of Wolof, Sereer and Tukuloor"
9,UUUAZKKE,1981,Futa Jallon and the Jakhanke Clerical Tradition. Part II: Karamokho Ba of Touba in Guinea
10,BEW97CV4,2005,Futa Jalon to 1800
11,6TXWGHAX,2005,Futa Jalon: Nineteenth Century
12,M3J4HTAF,1981,Futa Jallon and the Jakhanke Clerical Tradition. Part I: The Historical Setting
13,P4DQ36NB,2001,Ancient Benin : where did the first monarchs come from?
14,AATGNIB6,2013,"The Formation of Candomblé
Vodun History and Ritual in Brazil"
15,T32GK7W3,1975,A Conflict of Faiths: Aboriginal Reaction to the First Missionaries in North Queensland
16,IWZJ8MFZ,2020,Mapoon Mission Station and the Privatization of Public Violence: Transnational Missionary Architecture on Queensland’s Late-Nineteenth-Century Colonial Frontier
17,6ETJUATG,2022,"Ancient Economies in Comparative Perspective: Material Life, Institutions and Economic Thought"
18,PWEPZJXN,1987,Bundu in the Eighteenth Century
19,GNK7QF6I,1993,Pragmatism in the Age of Jihad: The Precolonial State of Bundu
20,F5BAAZWW,2010,"Feasts in Motion: Archaeological Views of Parades, Sncestral Pageants, and Socio-Political Process in the Hueda Kingdom, 1650-1727 AD"
21,BG4TPIXV,1988,Religious Change among the Igbo during the Colonial Period
22,SCFCIFKI,2009,Hueda (Whydah) Country and Town: Archaeological Perspectives on the Rise and Collapse of an African Atlantic Kingdom
23,KF3F2N46,2009,"Powerful Pots, Humbling Holes, and Regional Ritual Processes: Towards an Archaeology of Huedan Vodun, ca. 1650-1727"
24,NGQETKFF,1996,The Fulbe of Bundu (Senegambia): From Theocracy to Secularization
25,68ZU4JKZ,1991,Population and nutrition: An essay on European demographic history
26,W273VNMA,2006,Bioarchaeology of Southeast Asia
27,EX4PA7NU,2002,"‘NO KINGS, NO LORDS, NO SLAVES’: ETHNICITY AND RELIGION AMONG THE SEREER-SAFÈN OF WESTERN BAWOL, 1700–1914"
28,I9AV4BVB,1972,Social and Economic Factors in the Muslim Revolution in Senegambia
29,TSQ44WXJ,2012,Bioarchaeology and Behavior: The People of the Ancient Near East
30,S6VB9IU8,2021,"Ancient Egyptian Urbanism in a Comparative, Global Context"
31,D2GRGKMT,2016,The Routledge Handbook of Bioarchaeology in Southeast Asia and the Pacific Islands
32,IVSFSU5A,2013,"Bioarchaeology of East Asia Movement, Contact, Health"
33,5RNUEE5T,2022,The Routledge Handbook of Mesoamerican Bioarchaeology
34,2ZSUN2B5,2016,The Bioarchaeology of Societal Collapse and Regeneration in Ancient Peru
35,IPXUG8I7,2005,Empire of the Inca
36,E2965PTQ,2011,Handbook to Life in the Inca World
37,XZKW6HW9,1996,Daily Life in the Inca Empire
38,DVBHUHU3,2019,"Wari Women from Huarmey: Bioarchaeological Interpretation
of Human Remains from the Wari Elite Mausoleum at Castillo de Huarmey, Peru."
39,TI3S4BE5,2012,"Violence, Ritual, and the Wari Empire: A Social Bioarchaeology of Imperialism in the Ancient Andes"
40,XMWZ6QVJ,1989,"The Nature of Wari: A Reappraisal of the Middle Horizon
Period in Peru"
41,3E7ZUAQI,2005,Pikillacta: The Wari Empire in Cuzco
42,D8S5S2FJ,1980,Montagnais Women and the Jesuit Program for Colonization
43,GY7YFUWF,2010,"Blood, fire, and “Baptism”: Three Perspectives on the Death of Jean De Brébeuf, Seventeenth-century Jesuit “Martyr”"
44,D8GQQV9U,2021,Reflections on How Ancient Egyptian Comparative History is Done: from Microhistory to Cliodynamics
45,5N2U96V3,2022,Moralizing Supernatural Punishment and Reward: A Response to Critics
46,P42QKG7Z,1992,Demography and Roman Society
47,CJMUFRT3,0,Historical life expectancy in selected regions 33-1875
48,XQW4SG6D,0,Turkey: life expectancy 1870-2020
49,2CM2MJGC,1987,"THE SLAVE TRADE, WARFARE AND ARO EXPANSION IN THE IGBO HINTERLAND"
50,H6VA5CET,1975,The Islamic Revolution of Futa Toro
51,CMRM3RTG,1973,Abdul Qadir and Shaykh Umar: A Continuing Tradition of Islamic Leadership in Futa Toro
52,JEH547UL,0,You Cannot Fix the Economy by Hurting People
53,ZGGEJWF9,2005,“Benue Valley Peoples: Jukun and Kwararafa”
54,BPADFNRX,2011,"ISLAM IN THE NON-MUSLIM AREAS OF NORTHERN NIGERIA, c.1600-1960"
55,PAAET6QY,2005,Christianity and the First Peoples: Some Second Thoughts
56,R2C72GGB,2005,Tjurkurpa Palya—The Good Word: Pitjantjatjara Responses to Christianity
57,NRGZDV3Z,1977,"Precolonial Senegal: the Jolof Kingdom, 1800-1890"
